alice_plus_animopus	Анимопус
smart_home_vykliuchi_kompiuternye_rozetki	Выключи компьютерные розетки
smart_home_vykliuchi_konditsioner_v_detskoi	Выключи кондиционер в детской
smart_home_vykliuchi_podsvetku	Выключи подсветку
smart_home_vykliuchi_podsvetku_na_svetodiodnykh_sto	Выключи подсветку на светодиодных столах
smart_home_vykliuchi_rozetki_v_koridore	Выключи розетки в коридоре
smart_home_vykliuchi_rozetku	Выключи розетку
smart_home_vykliuchi_televizor_cherez_30_minut	Выключи телевизор через 30 минут
smart_home_vykliuchi_uvlazhnitel_cherez_30_minut	Выключи увлажнитель через 30 минут
smart_home_vykliuchi_ventiliator_v_gostinoi	Выключи вентилятор в гостиной
smart_home_vykliuchi_verkhnii_svet_v_detskoi_cherez	Выключи свет в детской через 15 минут
smart_home_vykliuchi_videosistemu	Выключи видеосистему
timers_dai_pospat_v_etom_sluchae_alisa_perenese	Дай поспать
timers_iandeks_s_alisoi	— с Алисой
timers_izmeni_gromkost_budilnika_na_10	Измени громкость будильника на 10
timers_kakaia_muzyka_na_budilnike	Какая музыка на будильнике?
timers_kakie_budilniki_ustanovleny	Какие будильники установлены?
timers_kakie_taimery_ustanovleny	Какие таймеры установлены?
timers_napomni_vykliuchit_dukhovku_cherez_7_min	Напомни выключить духовку через 7 минут
timers_nastroi_kolonku	Настрой колонку
timers_otmet_v_kalendare_trenirovku_po_subbotam	Тренировка по субботам
timers_perevedi_budilnik_na_10_utra	Переведи будильник на 10 утра
timers_postav_pervyi_taimer_na_pauzu	Поставь первый таймер на паузу
timers_postav_taimer_na_chas	Поставь таймер на час
timers_postav_taimer_sna_na_pauzu	Поставь таймер сна на паузу
timers_postav_vstrechu_v_aeroportu_27_maia_v_5	Встреча в аэропорту 27 мая
timers_razbudi_popozzhe	Разбуди попозже
timers_skolko_do_kontsa_taimera	Сколько до конца таймера?
timers_udali_budilnik	Удали будильник
timers_udali_taimer	Удали таймер
timers_udali_vse_budilniki	Удали все будильники
timers_udali_vse_napominaniia	Удали все напоминания
timers_udali_vstrechu_22_maia_v_9_00_utra	Удали встречу 22 мая в 9:00 утра
timers_ustanovi_v_piatnitsu_na_14_00_vstrechu_s	Встреча с коллегами в пятницу
tv_video_alisa	Алиса
tv_video_chto_idet_po_rbk	Что идёт по РБК?
tv_video_gromkost_na_sem_tolko_pri_podkliuchenii	Громкость на семь
tv_video_kakie_filmy	Какие фильмы
tv_video_kakie_filmy_serialy_segodnia_po_tv	Какие фильмы / сериалы сегодня по ТВ?
tv_video_naidi_boevik_1990_goda	Найди боевик 1990 года
tv_video_naidi_triller	Найди триллер
tv_video_naidi_video_gde_deti_vorvalis_v_priamoi	Видео с детьми в эфире BBC
tv_video_nauka_2_0	Наука 2.0
tv_video_nazad	Назад
tv_video_otkroi_vkladku_tv_tolko_pri_podkliucheni	Открой вкладку «ТВ»
tv_video_pauza	Пауза
tv_video_peremotai_na_20_minut_nazad	Перемотай на 20 минут назад
tv_video_peremotai_na_desiatuiu_minutu	Перемотай на десятую минуту
tv_video_planeta_hd	Планета HD
tv_video_pokazhi_chto_nibud_romanticheskoe	Покажи что-нибудь романтическое
tv_video_pokazhi_serial_triller	Покажи сериал-триллер
tv_video_posovetui_film_na_kinopoiske	Посоветуй фильм на Кинопоиске
tv_video_posovetui_serial_na_kinopoiske	Посоветуй сериал на Кинопоиске
tv_video_postav_film_pobeg_iz_shoushenka	Поставь фильм «Побег из Шоушенка»
tv_video_postav_serial_klinika	Поставь сериал «Клиника»
tv_video_postav_video_s_enotami_na_rutube	Поставь видео с енотами на RUTUBE
tv_video_propusti_reklamu	Пропусти рекламу
tv_video_propusti_titry	Пропусти титры
tv_video_serialy_segodnia_po_tv	Сериалы сегодня по ТВ?
tv_video_skazhi_programmu_na_14_fevralia_na_veche	Программа «Наука 2.0» на вечер
tv_video_skazhi_programmu_na_8_fevralia	Скажи программу на 8 февраля
tv_video_skazhi_programmu_na_sleduiushchei_nedele	Программа на вторник
tv_video_skazhi_programmu_na_vecher	Скажи программу на вечер
tv_video_skazhi_programmu_planeta_hd	Скажи программу «Планета HD»
tv_video_vkliuchi_dorozhku_18	Включи дорожку 18+
tv_video_vkliuchi_futbol	Включи футбол
tv_video_vkliuchi_komediiu_2016_goda	Включи комедию 2016 года
tv_video_vkliuchi_muzykalnyi_klip_v_seti	Включи музыкальный клип в сети
tv_video_vkliuchi_nomer_2	Включи номер 2
tv_video_vkliuchi_novogodnii_kanal	Включи Новогодний канал
tv_video_vkliuchi_pervuiu_dorozhku	Включи первую дорожку
tv_video_vkliuchi_predydushchee_video	Включи предыдущее видео
tv_video_vykliuchi_stantsiiu_v_polnoch	Выключи Станцию в полночь
tv_video_vykliuchi_subtitry	Выключи субтитры
tv_video_vykliuchis_cherez_40_minut	Выключись через 40 минут
tv_video_zapusti_multfilm_korol_lev	Запусти мультфильм «Король Лев»
tv_video_zapusti_multfilm_pro_kota_v_seti	Запусти мультфильм про кота в сети
tv_video_zapusti_piatyi_kanal	Запусти пятый канал
